shopping_id,loja_nome,segmento,cupons,clientes,valor_total,ticket_medio,shopping_sigla,ranking
2,Le Lis Blanc,Moda,13,13,27825.56,2140.43,BS,8
2,Cacau Show,Gastronomia,97,79,26770.19,275.98,BS,9
2,Coliseu,Joalheria,6,5,26607.0,4434.5,BS,10
2,Paula Torres,Calçados Femininos,8,8,23524.31,2940.54,BS,11
2,Track&Field,Moda,36,28,23351.04,648.64,BS,12
2,Superlegal Brinquedos,Infantil,100,81,22973.57,229.74,BS,13
2,The North Face,Moda,13,6,21934.0,1687.23,BS,14
2,Rayban,Ótica,13,12,20537.5,1579.81,BS,15
2,Adidas,Esportes,24,20,20025.76,834.41,BS,16
2,Lofty style,Moda Feminina,22,21,19668.16,894.01,BS,17
2,Samsung,Eletrônicos,2,2,19574.0,9787.0,BS,18
2,Brooksfield,Moda,10,10,18845.03,1884.5,BS,19
2,Dress To,Moda Feminina,12,12,18718.0,1559.83,BS,20
2,Arezzo,Calçados Femininos,31,29,18041.25,581.98,BS,21
2,Kopenhagen,Gastronomia,73,49,17996.92,246.53,BS,22
2,Adidas Originals,Moda,20,18,17595.15,879.76,BS,23
2,Live!,Moda,26,23,15393.18,592.05,BS,24
2,Livrarias Catarinense,Livrarias,154,125,15065.16,97.83,BS,25
2,Dolce & Gabbana,Moda,2,2,14809.0,7404.5,BS,26
2,Virus 41,Calçados,16,16,14359.87,897.49,BS,27
2,Altenburg,Casa e Decoração,5,5,14351.1,2870.22,BS,28
2,Oakley,Ótica,10,9,13954.6,1395.46,BS,29
2,Nike,Moda,9,9,13662.72,1518.08,BS,30
2,Magazine Luiza,Eletrodomésticos,5,5,11840.85,2368.17,BS,31
2,iPlace Mobile,Eletrônicos,4,4,11629.18,2907.3,BS,32
2,Outback Steakhouse,Gastronomia,44,34,11294.94,256.7,BS,33
2,Ri Happy,Infantil,55,46,11198.04,203.6,BS,34
2,Miniso,Presentes e Acessórios,79,30,11134.61,140.94,BS,35
2,Granado,Beleza e Bem-estar,42,34,10962.92,261.02,BS,36
2,Grandvision by Fototica,Ótica,9,4,10704.4,1189.38,BS,37
2,Madero,Gastronomia,57,49,10546.15,185.02,BS,38
2,Hope,Moda,31,29,10427.49,336.37,BS,39
2,Magic Feet,Moda,12,9,10106.93,842.24,BS,40
2,Boss,Moda,8,6,9998.0,1249.75,BS,41
2,Hering Store,Moda,29,28,9614.0,331.52,BS,42
2,Lojas Americanas,Supermercado,143,89,9462.26,66.17,BS,43
2,Levi's,Moda,15,15,9268.41,617.89,BS,44
2,Lua Luá,Moda,20,15,8947.3,447.36,BS,45
2,Bacio di Latte,Gastronomia,113,77,8915.02,78.89,BS,46
2,John John Denim,Moda,11,7,8838.84,803.53,BS,47
2,Zeiss Vision Center,Ótica,2,2,8815.0,4407.5,BS,48
2,Casa Bauducco,Gastronomia,71,50,8491.62,119.6,BS,49
2,Schutz,Calçados,9,9,8287.0,920.78,BS,50
2,Le Creuset,Casa e Decoração,12,10,8121.25,676.77,BS,51
2,Camicado,Casa e Decoração,30,25,7954.08,265.14,BS,52
2,Lupo,Moda,27,26,7801.0,288.93,BS,53
2,Nba Store Balneario Camboriu,Moda,12,11,7674.91,639.58,BS,54
2,Clifield,Moda,12,10,7534.9,627.91,BS,55
2,Carter´s,Infantil,21,18,7370.71,350.99,BS,56
2,Farm,Moda,11,9,7325.44,665.95,BS,57
2,Natura,Beleza e Bem-estar,38,34,7188.44,189.17,BS,58
2,Maria Dolores,Joalheria,4,4,7097.0,1774.25,BS,59
2,TIM,Telefonia,2,1,7081.84,3540.92,BS,60
2,Vr Collezioni,Moda,2,2,6940.0,3470.0,BS,61
2,Vans,Calçados,8,7,6779.85,847.48,BS,62
2,Adcos,Beleza e Bem-estar,14,14,6336.1,452.58,BS,63
2,MeLinda,Calçados Femininos,30,29,6210.72,207.02,BS,64
2,Óticas Carol,Ótica,4,3,6196.0,1549.0,BS,65
2,Kipling,Presentes e Acessórios,10,7,6122.6,612.26,BS,66
2,Artwalk,Calçados,7,7,6004.96,857.85,BS,67
2,Youcom,Moda,19,18,5889.41,309.97,BS,68
2,Coach,Moda Feminina,2,2,5886.2,2943.1,BS,69
2,O Boticário,Beleza e Bem-estar,40,37,5267.05,131.68,BS,70
2,Saint Germain,Joalheria,9,8,4662.0,518.0,BS,71
2,Bagaggio,Presentes e Acessórios,4,4,4328.6,1082.15,BS,72
2,Ellus,Moda,3,3,4266.85,1422.28,BS,73
2,Vivo,Telefonia,1,1,4234.15,4234.15,BS,74
2,Morana,Presentes e Acessórios,17,16,4113.82,241.99,BS,75
2,Unizushi,Gastronomia,17,12,3863.75,227.28,BS,76
2,McDonald's,Gastronomia,71,42,3844.15,54.14,BS,77
2,Sunglass Hut,Ótica,2,2,3681.5,1840.75,BS,78
2,Paladare Di Italia,Gastronomia,46,26,3618.6,78.67,BS,79
2,Audithorium,Moda,5,5,3605.83,721.17,BS,80
2,AJFans Balneário Shopping,Promocional,3,1,3500.0,1166.67,BS,81
2,Wepink,Beleza e Bem-estar,30,23,3416.16,113.87,BS,82
2,Loungerie,Moda,16,15,3393.25,212.08,BS,83
2,Mac,Beleza e Bem-estar,9,9,3359.6,373.29,BS,84
2,Gamelas & Panella´s,Gastronomia,40,25,3270.72,81.77,BS,85
2,Samsonite,Presentes e Acessórios,2,2,3235.0,1617.5,BS,86
2,Bibi,Infantil,11,8,3215.54,292.32,BS,87
2,Sandra Duwe,Joalheria,1,1,3095.0,3095.0,BS,88
2,Stanley,Presentes e Acessórios,10,9,3069.02,306.9,BS,89
2,Bottero,Calçados,7,7,2979.1,425.59,BS,90
2,KFC,Gastronomia,54,41,2933.6,54.33,BS,91
2,Calvin Klein,Moda,6,6,2931.0,488.5,BS,92
2,Richard's,Moda,2,2,2797.0,1398.5,BS,93
2,Luz da Lua,Calçados,4,4,2759.5,689.88,BS,94
2,Milon,Infantil,8,8,2691.8,336.48,BS,95
2,Jcanedo,Moda,5,4,2446.74,489.35,BS,96
2,Havaianas,Calçados,27,27,2438.66,90.32,BS,97
2,Osklen,Moda,7,6,2364.0,337.71,BS,98
2,Criamigos,Infantil,10,10,2193.64,219.36,BS,99
2,Swell Poke,Gastronomia,27,20,2159.0,79.96,BS,100
2,Usaflex,Calçados,5,5,2157.96,431.59,BS,101
2,Democrata,Calçados,5,5,2049.45,409.89,BS,102
2,Souq,Moda Feminina,3,3,2043.6,681.2,BS,103
2,Paquetá Esportes,Esportes,6,5,2034.91,339.15,BS,104
2,Havanna Café,Gastronomia,17,12,1960.2,115.31,BS,105
2,Tip Top,Infantil,8,8,1957.52,244.69,BS,106
2,Salinas,Moda,4,4,1931.0,482.75,BS,107
2,Swarovski,Joalheria,2,2,1908.0,954.0,BS,108
2,Aramis,Moda,1,1,1899.0,1899.0,BS,109
2,Pizza Hut,Gastronomia,27,21,1758.99,65.15,BS,110
2,Café Cultura,Gastronomia,35,26,1741.02,49.74,BS,111
2,MB acessórios,Presentes e Acessórios,11,9,1722.27,156.57,BS,112
2,Quiksilver,Moda,3,3,1638.52,546.17,BS,113
2,Mânoa Acessórios,Presentes e Acessórios,21,19,1612.92,76.81,BS,114
2,Ugg,Moda Feminina,1,1,1599.0,1599.0,BS,115
2,Puket,Moda,10,10,1582.22,158.22,BS,116
2,Mini Kalzone,Gastronomia,72,41,1581.5,21.97,BS,117
2,L'occitane Bresil,Beleza e Bem-estar,8,8,1567.46,195.93,BS,118
2,Colcci,Moda,3,3,1536.0,512.0,BS,119
2,De Ville Gourmet,Gastronomia,21,14,1502.08,71.53,BS,120
2,Anselmi,Moda Feminina,1,1,1456.0,1456.0,BS,121
2,Plié,Moda,6,5,1438.1,239.68,BS,122
2,Manly,Moda Feminina,4,3,1356.3,339.08,BS,123
2,Pegada,Calçados,3,1,1329.96,443.32,BS,124
2,Beagle,Moda,6,6,1279.65,213.28,BS,125
2,Balneário Shopping - Estacionamento,Serviços,33,31,1205.0,36.52,BS,126
