shopping_id,cnpj,loja_nome,segmento,status_atual,last_time,data_inativacao,cupons,clientes,valor_total,shopping_sigla,participou,inativada_na_promo
2,23417670000103,Luz da Lua,Calçados,ATIVO,2024-12-11 21:24:20,,17,14,14429.3,BS,True,False
2,00776574161087,Lojas Americanas,Supermercado,ATIVO,2026-02-13 07:55:13,,229,137,14133.08,BS,True,False
2,02421421009500,TIM,Telefonia,ATIVO,2024-12-11 21:24:20,,3,2,14094.84,BS,True,False
2,11950487018218,Bacio di Latte,Gastronomia,ATIVO,2025-11-17 19:21:14,,186,122,13024.16,BS,True,False
2,49669856026703,John John Denim,Moda,ATIVO,2026-03-20 08:00:27,,17,12,13012.64,BS,True,False
2,43470566006473,Shoulder,Moda Feminina,ATIVO,2024-12-11 21:24:20,,10,9,12763.44,BS,True,False
2,41640059000121,Vans,Calçados,ATIVO,2026-02-10 07:50:36,,14,13,11299.78,BS,True,False
2,24276833004305,Natura,Beleza e Bem-estar,ATIVO,2024-12-11 21:24:20,,61,54,10713.37,BS,True,False
2,13257648014492,Grandvision by Fototica,Ótica,ATIVO,2024-12-11 21:24:20,,9,4,10704.4,BS,True,False
2,17574231003550,Youcom,Moda,ATIVO,2024-12-11 21:24:20,,33,30,10308.42,BS,True,False
2,52194320000638,Nba Store Balneario Camboriu,Moda,ATIVO,2026-03-20 08:14:55,,15,14,10273.87,BS,True,False
2,46548870000109,Democrata,Calçados,ATIVO,2024-12-11 21:24:20,,23,22,10157.46,BS,True,False
2,27571229000132,Bibi,Infantil,ATIVO,2024-12-11 21:24:20,,23,19,10075.49,BS,True,False
2,12136108005740,Monte Carlo Joias,Joalheria,ATIVO,2026-03-20 14:18:11,,3,2,9598.0,BS,True,False
2,55591589000131,Casa Bauducco,Gastronomia,ATIVO,2025-05-13 15:41:24,,91,67,9571.57,BS,True,False
2,80973795000153,O Boticário,Beleza e Bem-estar,ATIVO,2024-12-11 21:24:20,,73,66,9554.54,BS,True,False
2,13393158004299,MeLinda,Calçados Femininos,ATIVO,2026-03-20 08:09:46,,57,52,9114.78,BS,True,False
2,34587970000157,Adcos,Beleza e Bem-estar,ATIVO,2024-12-11 21:24:20,,26,24,9071.8,BS,True,False
2,09048502000167,Sandra Duwe,Joalheria,ATIVO,2024-12-11 21:24:20,,3,3,8803.0,BS,True,False
2,46088254000104,Artwalk,Calçados,ATIVO,2026-03-20 14:13:13,,10,10,8513.94,BS,True,False
2,09054385033239,Vr Collezioni,Moda,ATIVO,2026-03-20 14:18:54,,3,3,8328.0,BS,True,False
2,33217311000328,Unizushi,Gastronomia,ATIVO,2024-12-20 08:29:30,,32,19,8067.0,BS,True,False
2,55743365000106,Samsonite,Presentes e Acessórios,ATIVO,2026-03-20 08:37:55,,7,7,7920.0,BS,True,False
2,42886409000105,Morana,Presentes e Acessórios,ATIVO,2024-12-11 21:24:20,,32,30,7570.89,BS,True,False
2,47277437000130,Bagaggio,Presentes e Acessórios,ATIVO,2026-03-20 14:16:02,,9,8,7502.65,BS,True,False
2,22872129000122,Aramis,Moda,ATIVO,2024-12-11 21:24:20,,3,3,7302.0,BS,True,False
2,02263214000186,Gamelas & Panella´s,Gastronomia,ATIVO,2024-12-11 21:24:20,,71,42,7210.78,BS,True,False
2,02558157083432,Vivo,Telefonia,ATIVO,2024-12-11 21:24:20,,2,2,7021.15,BS,True,False
2,30644994000140,Óticas Carol,Ótica,ATIVO,2024-12-11 21:24:20,,6,5,6934.0,BS,True,False
2,34789369000147,Bottero,Calçados,ATIVO,2026-03-24 14:31:12,,16,16,6723.88,BS,True,False
2,58113136000198,Wepink,Beleza e Bem-estar,ATIVO,2025-03-20 07:13:09,,52,41,6621.86,BS,True,False
2,34900135000125,Audithorium,Moda,ATIVO,2026-03-20 07:53:23,,12,12,6609.87,BS,True,False
